title,provider,certificate_type,rating,difficulty,students_enrolled,platform,price,reviews,lectures,duration,category
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,0.0,5.3k,Coursera,,,,,Unknown
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,1.0,17k,Coursera,,,,,Unknown
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,,130k,Coursera,,,,,Unknown
A Law Student's Toolkit,Yale University,COURSE,4.7,,91k,Coursera,,,,,Unknown
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,,320k,Coursera,,,,,Unknown
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,0.0,39k,Coursera,,,,,Unknown
AI For Everyone,deeplearning.ai,COURSE,4.8,0.0,350k,Coursera,,,,,Unknown
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,1.0,2.4k,Coursera,,,,,Unknown
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,0.0,61k,Coursera,,,,,Unknown
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,1.0,12k,Coursera,,,,,Unknown
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,1.0,4k,Coursera,,,,,Unknown
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,1.0,13k,Coursera,,,,,Unknown
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,0.0,130k,Coursera,,,,,Unknown
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,0.0,11k,Coursera,,,,,Unknown
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,0.0,27k,Coursera,,,,,Unknown
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,0.0,110k,Coursera,,,,,Unknown
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,1.0,13k,Coursera,,,,,Unknown
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,,6.6k,Coursera,,,,,Unknown
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,0.0,540k,Coursera,,,,,Unknown
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,1.0,22k,Coursera,,,,,Unknown
Access Controls,(ISC)²,COURSE,4.6,0.0,2.9k,Coursera,,,,,Unknown
Accounting Analytics,University of Pennsylvania,COURSE,4.5,,80k,Coursera,,,,,Unknown
Accounting for Decision Making,University of Michigan,COURSE,4.8,1.0,9.9k,Coursera,,,,,Unknown
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,0.0,110k,Coursera,,,,,Unknown
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,,23k,Coursera,,,,,Unknown
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,0.0,9.2k,Coursera,,,,,Unknown
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,1.0,78k,Coursera,,,,,Unknown
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,2.0,320k,Coursera,,,,,Unknown
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,2.0,190k,Coursera,,,,,Unknown
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,2.0,35k,Coursera,,,,,Unknown
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,2.0,29k,Coursera,,,,,Unknown
Advertising and Society,Duke University,COURSE,4.8,,14k,Coursera,,,,,Unknown
Age of Cathedrals,Yale University,COURSE,4.7,0.0,21k,Coursera,,,,,Unknown
Agile Development,University of Virginia,SPECIALIZATION,4.7,0.0,94k,Coursera,,,,,Unknown
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,0.0,69k,Coursera,,,,,Unknown
Agile with Atlassian Jira,Atlassian,COURSE,4.7,0.0,40k,Coursera,,,,,Unknown
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,0.0,12k,Coursera,,,,,Unknown
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,1.0,220k,Coursera,,,,,Unknown
Algorithms,Stanford University,SPECIALIZATION,4.8,1.0,150k,Coursera,,,,,Unknown
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,1.0,14k,Coursera,,,,,Unknown
American Contract Law I,Yale University,COURSE,4.9,0.0,18k,Coursera,,,,,Unknown
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,0.0,23k,Coursera,,,,,Unknown
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,0.0,69k,Coursera,,,,,Unknown
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,0.0,270k,Coursera,,,,,Unknown
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,0.0,7.9k,Coursera,,,,,Unknown
Anatomy,University of Michigan,SPECIALIZATION,4.8,0.0,30k,Coursera,,,,,Unknown
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,1.0,36k,Coursera,,,,,Unknown
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,0.0,20k,Coursera,,,,,Unknown
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,,8.1k,Coursera,,,,,Unknown
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,0.0,120k,Coursera,,,,,Unknown
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,,71k,Coursera,,,,,Unknown
Antibiotic Stewardship,Stanford University,COURSE,4.5,2.0,11k,Coursera,,,,,Unknown
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,0.0,11k,Coursera,,,,,Unknown
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,1.0,63k,Coursera,,,,,Unknown
Applied Data Science,IBM,SPECIALIZATION,4.6,0.0,220k,Coursera,,,,,Unknown
Applied Data Science Capstone,IBM,COURSE,4.7,1.0,42k,Coursera,,,,,Unknown
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,1.0,480k,Coursera,,,,,Unknown
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,1.0,150k,Coursera,,,,,Unknown
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,1.0,97k,Coursera,,,,,Unknown
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,0.0,6.6k,Coursera,,,,,Unknown
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,,200k,Coursera,,,,,Unknown
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,0.0,180k,Coursera,,,,,Unknown
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,1.0,4.2k,Coursera,,,,,Unknown
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,1.0,310k,Coursera,,,,,Unknown
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,0.0,3.9k,Coursera,,,,,Unknown
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,0.0,150k,Coursera,,,,,Unknown
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,,79k,Coursera,,,,,Unknown
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,,31k,Coursera,,,,,Unknown
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,,15k,Coursera,,,,,Unknown
Arts and Heritage Management,Università Bocconi,COURSE,4.8,,15k,Coursera,,,,,Unknown
